RefundID,Date,GameTitle,Genre,PlatformStorefront,Region,PurchasePriceGBP,HoursPlayed,RefundRequested,RefundReason,ComplaintCategory,Escalated,EscalationTier,ResolutionStatus,ResolutionDays,SupportNotes
RF-500012,2025-11-08,LifeSpace,Life Simulation,Steam,AU,49.99,14.3,FALSE,"NPC AI failure","NPC / support",TRUE,"Legal/privacy review","No refund requested",0,"Escalated because player supplied logs or payment evidence for npc ai failure"
RF-500013,2026-03-17,Zero Hour Arena,Shooter Live Service,PlayStation Store,UK,0.00,8.0,FALSE,"Matchmaking instability","Matchmaking / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500014,2026-01-02,Hearthwild,Survival Crafting,Epic Store,AU,34.99,15.6,FALSE,"Anti-cheat false positive","Anti-cheat / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500015,2026-03-13,TownLife,Life Simulation,Steam,UK,0.00,12.2,FALSE,"DLC pricing dispute","DLC / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500016,2026-04-14,LifeSpace,Life Simulation,Steam,UK,49.99,10.6,FALSE,"DLC value complaint","DLC / support",TRUE,"Platform escalation","No refund requested",0,"Escalated because player supplied logs or payment evidence for dlc value complaint"
RF-500017,2026-04-10,Zero Hour Arena,Shooter Live Service,Xbox Store,BR,0.00,10.0,FALSE,"Skin entitlement issue","Skin / support",TRUE,"Platform escalation","No refund requested",0,"Escalated because player supplied logs or payment evidence for skin entitlement issue"
RF-500018,2025-12-19,LifeSpace,Life Simulation,PlayStation Store,BR,49.99,11.0,TRUE,"DLC value complaint","DLC / support",FALSE,"Storefront auto-approved","Partial credit issued",3,"Standard storefront review for dlc value complaint"
RF-500019,2026-01-30,TownLife,Life Simulation,Xbox Store,US,0.00,9.2,TRUE,"Expansion compatibility","Expansion / support",FALSE,"Storefront auto-approved","Approved",2,"Standard storefront review for expansion compatibility"
RF-500020,2026-02-24,Zero Hour Arena,Shooter Live Service,PlayStation Store,AU,0.00,6.2,FALSE,"Battle pass chargeback","Battle / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500021,2026-03-19,LifeSpace,Life Simulation,Steam,BR,49.99,18.4,FALSE,"Save corruption","Save / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500022,2026-03-27,LifeSpace,Life Simulation,PlayStation Store,BR,49.99,6.6,TRUE,"NPC AI failure","NPC / support",TRUE,"Publisher review","Partial credit issued",15,"Escalated because player supplied logs or payment evidence for npc ai failure"
RF-500023,2026-05-26,LifeSpace,Life Simulation,Xbox Store,CA,49.99,19.3,FALSE,"NPC AI failure","NPC / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500024,2025-10-12,Streetline Skate,Skateboarding,PlayStation Store,JP,39.99,10.1,FALSE,"Online park desync","Online / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500025,2026-03-01,TownLife,Life Simulation,Steam,FR,0.00,8.9,FALSE,"Mod update broke save","Mod / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500026,2025-10-22,Zero Hour Arena,Shooter Live Service,Xbox Store,UK,0.00,11.3,FALSE,"Skin entitlement issue","Skin / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500027,2025-11-18,Zero Hour Arena,Shooter Live Service,Steam,FR,0.00,15.6,FALSE,"Skin entitlement issue","Skin / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500028,2025-12-04,LifeSpace,Life Simulation,Steam,BR,49.99,14.1,FALSE,"DLC value complaint","DLC / support",TRUE,"Legal/privacy review","No refund requested",0,"Escalated because player supplied logs or payment evidence for dlc value complaint"
RF-500029,2025-12-31,Hearthwild,Survival Crafting,PlayStation Store,CA,34.99,9.4,FALSE,"Co-op connection failure","Co-op / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500030,2026-02-22,Chronicle Vale,RPG Adventure,Epic Store,AU,59.99,6.9,FALSE,"Quest blocker","Quest / support",TRUE,"Publisher review","No refund requested",0,"Escalated because player supplied logs or payment evidence for quest blocker"
RF-500031,2025-10-31,Hearthwild,Survival Crafting,Xbox Store,FR,34.99,12.0,FALSE,"Early access content gap","Early / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500032,2026-01-15,Streetline Skate,Skateboarding,Steam,FR,39.99,2.0,FALSE,"Performance on older console","Performance / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500033,2025-12-14,LifeSpace,Life Simulation,PlayStation Store,CA,49.99,6.0,FALSE,"Mod incompatibility","Mod / support",TRUE,"Platform escalation","No refund requested",0,"Escalated because player supplied logs or payment evidence for mod incompatibility"
RF-500034,2025-10-12,Chronicle Vale,RPG Adventure,Steam,BR,59.99,6.6,FALSE,"Performance stutter","Performance / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500035,2025-12-13,TownLife,Life Simulation,Xbox Store,CA,0.00,5.4,FALSE,"Account entitlement issue","Account / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500036,2026-04-20,TownLife,Life Simulation,Xbox Store,AU,0.00,9.7,FALSE,"Expansion compatibility","Expansion / support",TRUE,"Platform escalation","No refund requested",0,"Escalated because player supplied logs or payment evidence for expansion compatibility"
RF-500037,2026-05-07,Zero Hour Arena,Shooter Live Service,PlayStation Store,US,0.00,5.9,TRUE,"Battle pass chargeback","Battle / support",FALSE,"Storefront auto-approved","Chargeback risk",1,"Standard storefront review for battle pass chargeback"
RF-500038,2026-04-06,Club Director Pro,Strategy Management,Xbox Store,CA,39.99,17.6,TRUE,"UI scaling issue","UI / support",FALSE,"Storefront auto-approved","Approved",1,"Standard storefront review for ui scaling issue"
RF-500039,2025-10-20,Zero Hour Arena,Shooter Live Service,Xbox Store,DE,0.00,11.5,FALSE,"Anti-cheat appeal","Anti-cheat / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500040,2025-11-07,Chronicle Vale,RPG Adventure,Epic Store,UK,59.99,9.2,FALSE,"Performance stutter","Performance / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500041,2026-02-12,Zero Hour Arena,Shooter Live Service,Epic Store,DE,0.00,2.6,FALSE,"Matchmaking instability","Matchmaking / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500042,2026-02-09,TownLife,Life Simulation,Epic Store,US,0.00,3.5,FALSE,"Mod update broke save","Mod / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500043,2026-02-27,Apex Circuit,Racing,PlayStation Store,CA,59.99,6.5,FALSE,"License content mismatch","License / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500044,2026-04-04,Streetline Skate,Skateboarding,Steam,FR,39.99,13.6,FALSE,"Performance on older console","Performance / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500045,2026-04-17,Hearthwild,Survival Crafting,Epic Store,DE,34.99,13.6,FALSE,"Anti-cheat false positive","Anti-cheat / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500046,2026-04-21,Apex Circuit,Racing,PlayStation Store,UK,59.99,6.6,FALSE,"Wheel support issue","Wheel / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500047,2026-02-08,Zero Hour Arena,Shooter Live Service,PlayStation Store,BR,0.00,4.8,FALSE,"Skin entitlement issue","Skin / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500048,2026-01-03,Zero Hour Arena,Shooter Live Service,Epic Store,UK,0.00,1.5,FALSE,"Matchmaking instability","Matchmaking / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500049,2026-02-26,LifeSpace,Life Simulation,Steam,JP,49.99,7.4,FALSE,"Save corruption","Save / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500050,2025-12-28,LifeSpace,Life Simulation,Steam,DE,49.99,14.4,TRUE,"Mod incompatibility","Mod / support",FALSE,"Storefront auto-approved","Approved",1,"Standard storefront review for mod incompatibility"
RF-500051,2026-02-21,LifeSpace,Life Simulation,Xbox Store,UK,49.99,17.7,FALSE,"DLC value complaint","DLC / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500052,2025-12-12,TownLife,Life Simulation,PlayStation Store,CA,0.00,11.7,FALSE,"Account entitlement issue","Account / support",TRUE,"Publisher review","No refund requested",0,"Escalated because player supplied logs or payment evidence for account entitlement issue"
RF-500053,2026-04-12,LifeSpace,Life Simulation,Steam,DE,49.99,19.5,FALSE,"Mod incompatibility","Mod / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500054,2025-12-02,Zero Hour Arena,Shooter Live Service,Epic Store,BR,0.00,11.3,FALSE,"Anti-cheat appeal","Anti-cheat / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500055,2026-03-21,TownLife,Life Simulation,Epic Store,JP,0.00,17.4,FALSE,"DLC pricing dispute","DLC / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500056,2026-05-17,LifeSpace,Life Simulation,Steam,BR,49.99,6.5,FALSE,"Crash after long session","Crash / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500057,2026-04-16,Club Director Pro,Strategy Management,PlayStation Store,AU,39.99,11.6,FALSE,"Database import failure","Database / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500058,2026-04-01,Club Director Pro,Strategy Management,Xbox Store,FR,39.99,2.8,TRUE,"Localization error","Localization / support",FALSE,"Storefront auto-approved","Denied",5,"Standard storefront review for localization error"
RF-500059,2025-11-22,Hearthwild,Survival Crafting,Xbox Store,JP,34.99,9.6,FALSE,"Anti-cheat false positive","Anti-cheat / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500060,2026-02-19,LifeSpace,Life Simulation,Epic Store,AU,49.99,19.3,FALSE,"Save corruption","Save / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500061,2026-05-30,Zero Hour Arena,Shooter Live Service,PlayStation Store,AU,0.00,0.2,FALSE,"Battle pass chargeback","Battle / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500062,2026-04-07,Hearthwild,Survival Crafting,Steam,DE,34.99,5.3,FALSE,"Co-op connection failure","Co-op / support",TRUE,"Platform escalation","No refund requested",0,"Escalated because player supplied logs or payment evidence for co-op connection failure"
RF-500063,2025-11-08,Zero Hour Arena,Shooter Live Service,Xbox Store,UK,0.00,2.2,TRUE,"Matchmaking instability","Matchmaking / support",FALSE,"Storefront auto-approved","Denied",5,"Standard storefront review for matchmaking instability"
RF-500064,2025-12-31,Streetline Skate,Skateboarding,PlayStation Store,FR,39.99,3.3,FALSE,"Online park desync","Online / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500065,2026-04-05,LifeSpace,Life Simulation,PlayStation Store,US,49.99,14.5,FALSE,"Save corruption","Save / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500066,2026-03-04,Hearthwild,Survival Crafting,PlayStation Store,BR,34.99,9.4,TRUE,"Anti-cheat false positive","Anti-cheat / support",TRUE,"Platform escalation","Pending evidence",11,"Escalated because player supplied logs or payment evidence for anti-cheat false positive"
RF-500067,2026-04-08,LifeSpace,Life Simulation,PlayStation Store,UK,49.99,12.0,FALSE,"Crash after long session","Crash / support",TRUE,"Platform escalation","No refund requested",0,"Escalated because player supplied logs or payment evidence for crash after long session"
RF-500068,2026-03-22,LifeSpace,Life Simulation,Steam,US,49.99,11.3,TRUE,"NPC AI failure","NPC / support",FALSE,"Storefront auto-approved","Partial credit issued",2,"Standard storefront review for npc ai failure"
RF-500069,2026-04-29,Zero Hour Arena,Shooter Live Service,Steam,DE,0.00,5.6,TRUE,"Battle pass chargeback","Battle / support",TRUE,"Publisher review","Denied",11,"Escalated because player supplied logs or payment evidence for battle pass chargeback"
RF-500070,2026-01-11,Hearthwild,Survival Crafting,PlayStation Store,AU,34.99,2.1,FALSE,"Early access content gap","Early / support",TRUE,"Publisher review","No refund requested",0,"Escalated because player supplied logs or payment evidence for early access content gap"
RF-500071,2026-05-15,Hearthwild,Survival Crafting,Xbox Store,BR,34.99,10.8,FALSE,"Co-op connection failure","Co-op / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500072,2025-11-11,Zero Hour Arena,Shooter Live Service,Epic Store,JP,0.00,6.3,TRUE,"Battle pass chargeback","Battle / support",TRUE,"Platform escalation","Chargeback risk",2,"Escalated because player supplied logs or payment evidence for battle pass chargeback"
RF-500073,2026-04-09,Zero Hour Arena,Shooter Live Service,Epic Store,JP,0.00,14.0,FALSE,"Skin entitlement issue","Skin / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500074,2025-12-02,Zero Hour Arena,Shooter Live Service,Epic Store,BR,0.00,11.7,TRUE,"Matchmaking instability","Matchmaking / support",FALSE,"Storefront auto-approved","Pending evidence",5,"Standard storefront review for matchmaking instability"
RF-500075,2025-12-20,TownLife,Life Simulation,Xbox Store,US,0.00,9.0,FALSE,"Account entitlement issue","Account / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500076,2025-12-21,Chronicle Vale,RPG Adventure,Steam,AU,59.99,6.8,FALSE,"Quest blocker","Quest / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500077,2025-10-31,Zero Hour Arena,Shooter Live Service,PlayStation Store,FR,0.00,4.1,FALSE,"Matchmaking instability","Matchmaking / support",TRUE,"Legal/privacy review","No refund requested",0,"Escalated because player supplied logs or payment evidence for matchmaking instability"
RF-500078,2025-11-12,Hearthwild,Survival Crafting,Epic Store,UK,34.99,5.2,FALSE,"Server rollback","Server / support",TRUE,"Platform escalation","No refund requested",0,"Escalated because player supplied logs or payment evidence for server rollback"
RF-500079,2025-10-13,Zero Hour Arena,Shooter Live Service,Steam,US,0.00,6.1,FALSE,"Matchmaking instability","Matchmaking / support",TRUE,"Legal/privacy review","No refund requested",0,"Escalated because player supplied logs or payment evidence for matchmaking instability"
RF-500080,2026-04-28,Apex Circuit,Racing,Steam,UK,59.99,2.5,FALSE,"License content mismatch","License / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500081,2026-04-07,Apex Circuit,Racing,Steam,DE,59.99,11.9,FALSE,"Wheel support issue","Wheel / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500082,2025-11-02,Apex Circuit,Racing,Xbox Store,FR,59.99,12.7,FALSE,"License content mismatch","License / support",TRUE,"Platform escalation","No refund requested",0,"Escalated because player supplied logs or payment evidence for license content mismatch"
RF-500083,2026-04-28,Chronicle Vale,RPG Adventure,Xbox Store,DE,59.99,13.2,FALSE,"Regional price dispute","Regional / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500084,2026-04-19,LifeSpace,Life Simulation,Epic Store,BR,49.99,6.0,FALSE,"NPC AI failure","NPC / support",TRUE,"Legal/privacy review","No refund requested",0,"Escalated because player supplied logs or payment evidence for npc ai failure"
RF-500085,2026-02-22,LifeSpace,Life Simulation,Steam,FR,49.99,16.7,TRUE,"NPC AI failure","NPC / support",TRUE,"Platform escalation","Denied",12,"Escalated because player supplied logs or payment evidence for npc ai failure"
RF-500086,2025-12-02,LifeSpace,Life Simulation,Xbox Store,DE,49.99,10.8,FALSE,"Mod incompatibility","Mod / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500087,2026-04-18,Zero Hour Arena,Shooter Live Service,Epic Store,FR,0.00,12.1,TRUE,"Matchmaking instability","Matchmaking / support",FALSE,"Storefront auto-approved","Chargeback risk",2,"Standard storefront review for matchmaking instability"
RF-500088,2026-04-01,Zero Hour Arena,Shooter Live Service,Steam,AU,0.00,6.0,FALSE,"Skin entitlement issue","Skin / support",TRUE,"Platform escalation","No refund requested",0,"Escalated because player supplied logs or payment evidence for skin entitlement issue"
RF-500089,2025-10-11,LifeSpace,Life Simulation,PlayStation Store,BR,49.99,13.7,FALSE,"DLC value complaint","DLC / support",TRUE,"Platform escalation","No refund requested",0,"Escalated because player supplied logs or payment evidence for dlc value complaint"
RF-500090,2025-12-10,LifeSpace,Life Simulation,Steam,DE,49.99,10.2,FALSE,"NPC AI failure","NPC / support",TRUE,"Legal/privacy review","No refund requested",0,"Escalated because player supplied logs or payment evidence for npc ai failure"
RF-500091,2026-05-25,LifeSpace,Life Simulation,Epic Store,AU,49.99,7.4,FALSE,"DLC value complaint","DLC / support",TRUE,"Publisher review","No refund requested",0,"Escalated because player supplied logs or payment evidence for dlc value complaint"
RF-500092,2025-11-23,LifeSpace,Life Simulation,Steam,DE,49.99,13.5,FALSE,"Save corruption","Save / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500093,2026-01-31,TownLife,Life Simulation,Epic Store,CA,0.00,9.7,FALSE,"Mod update broke save","Mod / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500094,2025-12-07,Zero Hour Arena,Shooter Live Service,Epic Store,CA,0.00,15.4,FALSE,"Skin entitlement issue","Skin / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500095,2026-02-01,Apex Circuit,Racing,Xbox Store,JP,59.99,12.9,FALSE,"Career mode repetition","Career / support",TRUE,"Platform escalation","No refund requested",0,"Escalated because player supplied logs or payment evidence for career mode repetition"
RF-500096,2026-05-17,Zero Hour Arena,Shooter Live Service,Steam,DE,0.00,1.7,FALSE,"Matchmaking instability","Matchmaking / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500097,2025-11-20,Zero Hour Arena,Shooter Live Service,Steam,JP,0.00,11.9,FALSE,"Skin entitlement issue","Skin / support",TRUE,"Legal/privacy review","No refund requested",0,"Escalated because player supplied logs or payment evidence for skin entitlement issue"
RF-500098,2025-12-24,TownLife,Life Simulation,PlayStation Store,UK,0.00,9.2,FALSE,"Mod update broke save","Mod / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500099,2026-02-05,LifeSpace,Life Simulation,PlayStation Store,BR,49.99,18.5,TRUE,"Save corruption","Save / support",FALSE,"Storefront auto-approved","Pending evidence",5,"Standard storefront review for save corruption"
RF-500100,2025-11-08,Apex Circuit,Racing,Steam,CA,59.99,17.9,FALSE,"Wheel support issue","Wheel / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500101,2026-02-17,TownLife,Life Simulation,Epic Store,BR,0.00,4.0,FALSE,"DLC pricing dispute","DLC / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500102,2026-01-03,LifeSpace,Life Simulation,Xbox Store,CA,49.99,13.4,FALSE,"Crash after long session","Crash / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500103,2026-05-12,Hearthwild,Survival Crafting,Steam,FR,34.99,10.7,FALSE,"Server rollback","Server / support",TRUE,"Platform escalation","No refund requested",0,"Escalated because player supplied logs or payment evidence for server rollback"
RF-500104,2026-04-16,Chronicle Vale,RPG Adventure,Steam,AU,59.99,0.6,FALSE,"Performance stutter","Performance / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500105,2025-11-18,Hearthwild,Survival Crafting,PlayStation Store,BR,34.99,13.8,FALSE,"Early access content gap","Early / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500106,2025-10-26,Zero Hour Arena,Shooter Live Service,Xbox Store,FR,0.00,2.4,FALSE,"Matchmaking instability","Matchmaking / support",TRUE,"Legal/privacy review","No refund requested",0,"Escalated because player supplied logs or payment evidence for matchmaking instability"
RF-500107,2026-01-09,LifeSpace,Life Simulation,PlayStation Store,UK,49.99,6.3,FALSE,"Save corruption","Save / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500108,2025-10-19,Club Director Pro,Strategy Management,Steam,BR,39.99,13.4,FALSE,"Localization error","Localization / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500109,2026-02-27,LifeSpace,Life Simulation,Xbox Store,AU,49.99,15.3,FALSE,"DLC value complaint","DLC / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500110,2026-01-14,LifeSpace,Life Simulation,Epic Store,AU,49.99,4.5,FALSE,"Mod incompatibility","Mod / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500111,2026-04-11,Chronicle Vale,RPG Adventure,Xbox Store,CA,59.99,8.7,FALSE,"Quest blocker","Quest / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500112,2025-11-21,TownLife,Life Simulation,PlayStation Store,AU,0.00,12.6,FALSE,"Expansion compatibility","Expansion / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500113,2025-11-08,LifeSpace,Life Simulation,Xbox Store,AU,49.99,13.2,FALSE,"Crash after long session","Crash / support",TRUE,"Platform escalation","No refund requested",0,"Escalated because player supplied logs or payment evidence for crash after long session"
RF-500114,2025-12-17,Apex Circuit,Racing,Epic Store,BR,59.99,1.9,FALSE,"Career mode repetition","Career / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500115,2026-01-16,Zero Hour Arena,Shooter Live Service,Steam,US,0.00,14.4,FALSE,"Skin entitlement issue","Skin / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500116,2026-04-26,Hearthwild,Survival Crafting,Epic Store,CA,34.99,1.6,FALSE,"Anti-cheat false positive","Anti-cheat / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500117,2026-03-30,Apex Circuit,Racing,Xbox Store,JP,59.99,5.8,FALSE,"Wheel support issue","Wheel / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500118,2025-10-20,LifeSpace,Life Simulation,Epic Store,AU,49.99,5.1,FALSE,"NPC AI failure","NPC / support",TRUE,"Legal/privacy review","No refund requested",0,"Escalated because player supplied logs or payment evidence for npc ai failure"
RF-500119,2026-03-17,Streetline Skate,Skateboarding,Steam,BR,39.99,15.5,FALSE,"Online park desync","Online / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500120,2026-03-10,LifeSpace,Life Simulation,Steam,CA,49.99,4.3,FALSE,"Save corruption","Save / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500121,2026-01-31,TownLife,Life Simulation,PlayStation Store,FR,0.00,20.0,FALSE,"Account entitlement issue","Account / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500122,2026-02-02,Zero Hour Arena,Shooter Live Service,Steam,FR,0.00,1.5,FALSE,"Battle pass chargeback","Battle / support",TRUE,"Legal/privacy review","No refund requested",0,"Escalated because player supplied logs or payment evidence for battle pass chargeback"
RF-500123,2026-02-01,LifeSpace,Life Simulation,PlayStation Store,CA,49.99,3.4,FALSE,"NPC AI failure","NPC / support",FALSE,"Storefront auto-approved","No refund requested",0,"Telemetry record retained for refund-rate denominator"
RF-500124,2026-02-05,TownLife,Life Simulation,Steam,JP,0.00,10.2,FALSE,"DLC pricing dispute","DLC / support",TRUE,"Publisher review","No refund requested",0,"Escalated because player supplied logs or payment evidence for dlc pricing dispute"
